"CABLE LENGTH","EXPANDED","GENERATED","TIME","PATH-A-L","PATH-B-L","CABLE-L","PATH-A","PATH-B","CABLE"
"200","76","310","11.449498","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"205","81","343","12.203308700000001","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"210","87","370","13.100281600000002","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"215","90","389","13.735572499999996","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"220","94","400","13.991232199999999","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"225","99","418","14.895757099999997","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"230","102","441","15.564243899999994","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"235","110","480","16.657593199999994","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"240","117","500","17.56886879999999","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"245","118","516","17.503778900000015","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"250","120","529","18.076344500000005","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"255","124","550","18.87510800000001","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"260","131","577","20.629140000000007","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"265","132","592","21.595384499999994","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"270","136","607","23.57761149999999","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"275","139","624","21.85907850000001","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"280","144","657","22.62540610000002","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"285","151","692","22.97416960000004","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"290","157","716","23.833049399999993","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"295","158","731","23.281345799999997","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"300","161","752","23.646237199999973","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"305","165","769","23.394217199999957","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"310","172","800","24.715615000000014","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"315","175","819","24.37719050000004","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"320","177","836","24.909837600000003","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"325","179","855","24.850234999999998","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"330","185","887","28.627883699999984","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"335","191","912","26.400372299999958","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"340","194","942","27.154584399999976","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"345","195","955","27.795974499999943","277.7134253506677","337.8218621494459","181.10770276274835","[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
"350","28","314","4.4405067000000145","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"355","28","318","4.58982780000008","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
"360","28","323","4.259526299999948","277.7134253506677","291.6454510065115","349.7925138567607","[R1, O0-1, O0-2, D1]","[R2, O1-0, O1-3, D2]","[D1, O3-0, O3-1, D2]"
