CABLE-LENGTH,EXPANDED,GENERATED,TIME,PATH-A-L,PATH-B-L,CABLE-L,PATH-A,PATH-B,CABLE
200,76,310,11.3974179,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
202,78,322,11.6546155,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
204,79,332,11.7616705,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
206,82,346,12.350778,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
208,85,360,12.7530759,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
210,87,370,13.1242614,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
212,88,377,13.3159213,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
214,88,380,13.3179364,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
216,91,390,13.75144,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
218,93,397,14.0334224,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
220,94,400,14.0156717,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
222,95,407,14.2935687,277.7134254,337.8218621,181.1077028,"[R1, O0-1, O0-2, D1, D1]","[R2, O1-0, O3-0, O3-3, D2]","[D1, D2]"
